m_fr_sum,fr_sum,log_fr_sum,serial_num,vp_exp_dummy,num_comp_exp,product_num,log_num_news,num_news,inv_num,cs_dummy,biz_dummy,master_dummy,age
15.8737,15873700,7,1,0,1,0,1.361727836,23,0,0,0,0,25
15.8737,15873700,7,1,0,2,0,1.361727836,23,1,0,0,0,43
15.8737,15873700,7,1,0,1,0,1.361727836,23,1,0,0,0,25
1.5,1500000,6,1,0,1,1,0.903089987,8,0,0,0,0,25
44.72,44720000,8,1,0,2,1,1.278753601,19,0,0,0,0,25
44.72,44720000,8,2,0,5,1,1.278753601,19,0,0,0,0,25
0,0,0,3,0,4,0,0,0,0,0,0,0,25
5,5000000,7,1,0,1,2,0,1,0,0,0,0,25
7.3,7300000,7,2,0,3,1,0.4771212547,3,0,0,0,0,25
39.7,39700000,8,2,0,2,1,0,1,0,0,0,0,25
43,43000000,8,3,0,4,6,0.9542425094,9,0,0,0,0,25
2,2000000,6,3,1,3,1,0,1,1,0,0,0,25
8.393798,8393798,7,1,0,3,1,0.9542425094,9,0,0,1,0,25
8.393798,8393798,7,1,0,2,1,0.9542425094,9,0,0,0,0,25
2.06,2060000,6,1,0,3,2,0.3010299957,2,0,0,0,0,25
0,0,0,1,0,1,1,0.9542425094,9,0,0,0,0,25
0,0,0,1,1,3,0,0,1,0,0,0,0,25
0,0,0,5,0,5,1,0.7781512504,6,0,0,0,0,25
43,43000000,8,1,0,1,5,0.9542425094,9,0,0,0,0,25
0,0,0,3,0,5,0,0,0,0,0,0,0,25
0,0,0,1,0,1,0,0.4771212547,3,2,0,0,0,25
0,0,0,2,1,18,0,0.903089987,8,3,0,1,0,25
0,0,0,3,0,3,1,1.1461280357,14,0,0,0,0,25
0,0,0,3,0,3,1,1.1461280357,14,0,0,1,0,25
0,0,0,1,0,1,1,0,1,0,0,0,0,25
8.15,8150000,7,4,0,6,1,1.0413926852,11,0,1,1,0,49
0,0,0,1,0,2,0,2.2695129442,186,0,0,0,0,66
23.6,23600000,7,1,0,1,1,0.6020599913,4,0,1,0,0,25
0,0,0,1,1,3,0,1.4623979979,29,0,0,0,0,25
0,0,0,1,1,2,0,0,0,0,0,0,0,25
1.75,1750000,6,4,0,7,1,1.4471580313,28,0,1,0,0,25
0,0,0,2,0,4,1,1,10,0,0,0,0,25
0,0,0,1,1,6,0,0,0,0,0,0,0,25
0,0,0,1,0,9,0,0,0,0,0,0,0,25
33.386478,33386478,8,1,0,1,4,0.6020599913,4,0,0,0,0,25
2.06,2060000,6,1,0,1,2,0.3010299957,2,0,0,0,0,25
8,8000000,7,1,1,5,0,1.5440680444,35,3,0,0,0,25
0,0,0,1,0,3,0,0,0,0,0,0,0,25
45.5,45500000,8,2,1,5,4,1.1760912591,15,0,0,1,0,25
20,20000000,7,1,0,1,4,1.0413926852,11,0,0,0,0,25
14.16351,14163510,7,1,0,4,0,0.3010299957,2,0,0,1,0,25
177.8,177800000,8,3,1,5,15,1.9493900066,89,0,0,1,1,48
39.8,39800000,8,2,1,4,5,1.5797835966,38,0,0,0,0,25
50.1,50100000,8,2,1,9,2,1.9542425094,90,102,0,0,0,31
90.315,90315000,8,2,0,5,2,2.0492180227,112,2,1,0,0,25
21.05,21050000,7,4,0,9,5,1.1760912591,15,1,0,0,0,25
